title	predicted	actual	>0.2
Category:Aircraft operations	0.19368502539954274	0.0	True
CellProfiler	0.5463630987732726	0.0	True
Turing's Wager	0.27396878721825013	0.0	True
Quine (computing)	0.4768726389572634	0.0	True
Emulation theory of representation	0.1617758664424733	0.0	True
Emerging technologies	0.20716429933339062	0.0	True
Logic and dialectic	0.15669621471182646	0.0	True
SED-ML	0.31873597198591586	0.0	True
Template:Rfam	0.16839997419614855	0.0	True
File:Huston Smith.jpg	0.4592334236314873	0.0	True
Minimum information required in the annotation of models	0.2285554996178915	0.0	True
Chanchlani Global Health Research Award	0.1622325915562664	0.0	True
Belief revision	0.17776078229928266	0.0	True
Category:Fixed-base operators	0.19368502539954274	0.0	True
African Society for Bioinformatics and Computational Biology	0.19069682928631337	0.0	True
Cognitive model	0.29173293943477385	0.0	True
Computer-Assisted Passenger Prescreening System	0.18233366015840502	0.0	True
Universal grammar	0.20580156408317216	0.0	True
History of artificial life	0.3208151683452177	0.0	True
Bioinformatic Harvester	0.18909047914811405	0.0	True
Category:Evolutionary processes	0.178627015625765	0.0	True
Sensitive Security Information	0.23399927229646608	0.0	True
Template:SORA	0.15003878375477855	0.0	True
Formatdb	0.1994254407651058	0.0	True
MAVID	0.24857077653404455	0.0	True
Reticulation (single-access key)	0.1533089679306984	0.0	True
DAFIF	0.19202567360155365	0.0	True
Category:Airship technology	0.32032014032998385	0.0	True
PhylomeDB	0.3093549465186262	0.0	True
Metalearning (neuroscience)	0.16400634700215044	0.0	True
Andrew Thompson (parasitologist)	0.15527793017796077	0.0	True
JSBML	0.7475746682452353	0.0	True
Template:Paleodb	0.25062341512092084	0.0	True
Jalview	0.36307883079142156	0.0	True
Mothur	0.16628615596454088	0.0	True
Category:Enactive cognition	0.17000490613053076	0.0	True
File:Descartes optics.jpg	0.6088392283307701	0.0	True
Allison J. Doupe	0.1580291924884558	0.0	True
Ariadne's thread (logic)	0.16142400566984952	0.0	True
File:Balloon fiesta special shapes02.jpg	0.3906856811872545	0.0	True
Category:Aviation licenses and certifications	0.1904403049285174	0.0	True
Boolean network	0.16799447866034062	0.0	True
