title	predicted	actual	>0.2
American Megafauna	0.044817442009156536	0.0	False
List of cities by population density	0.027506464315409627	0.0	False
Muriel Bristol	0.054594318390465364	0.0	False
Rationality	0.07011505430661898	0.0	False
Skepticism	0.04431534560557428	0.0	False
TROPI	0.03017905584296165	0.0	False
Original intent	0.03805738454863777	0.0	False
Category:1978 in biology	0.050664786415254036	0.0	False
Johns Hopkins Center for Health Security	0.13234198044896106	0.0	False
Center for Philosophy of Science	0.13228468752605382	0.0	False
Heterolysis (biology)	0.04193363322109179	0.0	False
Silvio Bedini	0.025182996923668495	0.0	False
Antarctic Impulse Transient Antenna	0.07483412682588046	0.0	False
Variational properties	0.05260435253677471	0.0	False
Open-question argument	0.04072573692067281	0.0	False
Public produce	0.025474834690925697	0.0	False
Formosan clouded leopard	0.06312504648655778	0.0	False
Karl Spencer Lashley Award	0.10396533208775013	0.0	False
Howison Lectures in Philosophy	0.0438533676086884	0.0	False
Category:Philosophy award winners	0.07044048065185995	0.0	False
Particulate pollution	0.00810071211028356	0.0	False
Category:1968 in aviation	0.0610304575318814	0.0	False
Vitello	0.01119116961881634	0.0	False
Vladimir Arnold	0.007900854486809626	0.0	False
Novel world method	0.07514206620308252	0.0	False
Berlinische Monatsschrift	0.06799892657128842	0.0	False
Theology of religions	0.021996302682991797	0.0	False
Category:Marine Life templates	0.04834436380048833	0.0	False
H. H. Bloomer Award	0.056547614481279436	0.0	False
Category:Hatred	0.08865877024827187	0.0	False
Plant tolerance to herbivory	0.019008097482581237	0.0	False
Category:Reproduction in animals	0.084295334344344	0.0	False
Richard Boyd	0.0953858792157389	0.0	False
Necrotaxis	0.025437055049688732	0.0	False
Category:Authoritarianism	0.08865877024827187	0.0	False
Lactivicin	0.040326291536606634	0.0	False
S2242	0.09949280364714082	0.0	False
Boarding pass	0.09998814697460247	0.0	False
Category:Determinists	0.09468361770826708	0.0	False
Ethnographic realism	0.06403014626442292	0.0	False
Claims to the first powered flight	0.027378895786531063	0.0	False
FAIRE-Seq	0.10056250862893634	0.0	False
A23187	0.020059611608885548	0.0	False
Glossary of botanical terms	0.012570203711906584	0.0	False
Category:Medicine in society	0.05821279046319066	0.0	False
Old Bold Pilots Association	0.020332274716484203	0.0	False
Global resources dividend	0.04656448521510418	0.0	False
Incontinence (philosophy)	0.0329660076970831	0.0	False
Portal:Neuroscience	0.10821288817686175	0.0	False
Conserved name	0.05692329026971818	0.0	False
Cytoplasmic determinant	0.056029306862210276	0.0	False
Sulfentrazone	0.023908406468804055	0.0	False
Sulfide intrusion	0.007858992185739036	0.0	False
Isidium	0.062464344733445906	0.0	False
